gene_symbol,importance
C730002L08Rik,-9.680672e-05
Gda,0.14093572
Mamdc2,1.9836734e-05
Pgm5,0.00014380513
Dmrt2,1.0532967e-06
Glis3,0.00033791296
A830019P07Rik,-7.566221e-05
Htr7,-0.0002482697
Kif11,0.00018401082
Rbp4,-0.00014153813
Plce1,0.07660311
Pdlim1,0.00016869663
Blnk,0.045109916
Hpse2,0.000117375814
Pax2,4.508925e-05
Kazald1,0.0003166325
Gsto1,0.00012344937
Mirt1,8.6804954e-05
Rbm20,-0.00031878965
Adra2a,0.06894279
Tcf7l2,0.04397178
Gfra1,0.058348935
Slc18a2,0.00010201582
Emx2os,5.1124116e-05
Emx2,8.2296945e-05
Dgkk,8.7612905e-05
Lancl3,-0.000121979
Sytl5,-0.0002511325
Agtr2,-0.000121524085
Rab33a,-0.00013786217
Arhgap36,-7.595762e-05
Igsf1,-7.476077e-05
Stk26,-0.0001230388
Frmd7,9.4436386e-05
Gpc4,0.03939335
Gpc3,0.03949241
A630012P03Rik,-6.802269e-05
Fam122b,-5.1255905e-05
Brs3,3.9116654e-05
Gpr101,0.03509605
Zic3,-1.3229212e-05
Fgf13,0.22728732
Aff2,0.19417168
Hmgb3,0.06280823
Gabre,8.190547e-05
Gabrq,0.00014960906
Arx,4.9094586e-05
Pgr15l,0.0001430464
Ar,0.2036047
Cited1,0.00013100248
Dach2,8.219502e-05
Il1rapl2,0.16960914
Irs4,8.555873e-05
Chrdl1,9.017509e-05
A730046J19Rik,-8.071494e-05
Trpc5,0.14828461
Htr2c,0.17747782
Maged2,-7.3430725e-05
Spin2c,3.725011e-05
Adgrg2,-8.6435764e-05
Grpr,-0.00023628719
Glra2,0.17890552
